transaction_id,customer_id,product_id,category,region,quantity,unit_price,total_amount,transaction_date
TXN_068,CUST_068,PROD_068,Books,West,2,35.00,70.00,2025-07-23
TXN_069,CUST_069,PROD_069,Sports,North,1,180.00,180.00,2025-07-23
TXN_070,CUST_070,PROD_070,Home,South,4,90.00,360.00,2025-07-23
TXN_071,CUST_071,PROD_071,Electronics,East,2,200.00,400.00,2025-07-23
TXN_072,CUST_072,PROD_072,Clothing,West,1,80.00,80.00,2025-07-23
TXN_073,CUST_073,PROD_073,Books,North,3,50.00,150.00,2025-07-23
TXN_074,CUST_074,PROD_074,Sports,South,2,165.00,330.00,2025-07-23
TXN_075,CUST_075,PROD_075,Home,East,1,175.00,175.00,2025-07-23
TXN_076,CUST_076,PROD_076,Electronics,West,5,140.00,700.00,2025-07-23
TXN_077,CUST_077,PROD_077,Clothing,North,2,70.00,140.00,2025-07-23
TXN_078,CUST_078,PROD_078,Books,South,1,45.00,45.00,2025-07-23
TXN_079,CUST_079,PROD_079,Sports,East,3,155.00,465.00,2025-07-23
TXN_080,CUST_080,PROD_080,Home,West,2,185.00,370.00,2025-07-23
TXN_081,CUST_081,PROD_081,Electronics,North,1,230.00,230.00,2025-07-23
TXN_082,CUST_082,PROD_082,Clothing,South,4,60.00,240.00,2025-07-23
TXN_083,CUST_083,PROD_083,Books,East,2,30.00,60.00,2025-07-23
TXN_084,CUST_084,PROD_084,Sports,West,1,195.00,195.00,2025-07-23
TXN_085,CUST_085,PROD_085,Home,North,3,110.00,330.00,2025-07-23
TXN_086,CUST_086,PROD_086,Electronics,South,2,175.00,350.00,2025-07-23
TXN_087,CUST_087,PROD_087,Clothing,East,1,85.00,85.00,2025-07-23
TXN_088,CUST_088,PROD_088,Books,West,5,25.00,125.00,2025-07-23
TXN_089,CUST_089,PROD_089,Sports,North,2,170.00,340.00,2025-07-23
TXN_090,CUST_090,PROD_090,Home,South,1,200.00,200.00,2025-07-23
TXN_091,CUST_091,PROD_091,Electronics,East,3,160.00,480.00,2025-07-23
TXN_092,CUST_092,PROD_092,Clothing,West,2,75.00,150.00,2025-07-23
TXN_093,CUST_093,PROD_093,Books,North,1,55.00,55.00,2025-07-23
TXN_094,CUST_094,PROD_094,Sports,South,4,140.00,560.00,2025-07-23
TXN_095,CUST_095,PROD_095,Home,East,2,165.00,330.00,2025-07-23
TXN_096,CUST_096,PROD_096,Electronics,West,1,290.00,290.00,2025-07-23
TXN_097,CUST_097,PROD_097,Clothing,North,3,65.00,195.00,2025-07-23
TXN_098,CUST_098,PROD_098,Books,South,2,40.00,80.00,2025-07-23
TXN_099,CUST_099,PROD_099,Sports,East,1,185.00,185.00,2025-07-23
TXN_100,CUST_100,PROD_100,Home,West,4,95.00,380.00,2025-07-23
